model,prompt_tokens,completion_tokens,team,prompt
gpt-5,1200,450,Marketing,Generate a blog post about AI cost management
gpt-5,850,320,Marketing,Create social media campaign copy for a product launch
gpt-5,1200,450,Marketing,Generate a blog post about AI cost management
gpt-5-nano,90,30,Marketing,Classify sentiment: positive or negative
gpt-5-nano,75,25,Marketing,Extract the company name from this signature
claude-opus-5,2400,900,Data Science,Analyse quarterly revenue variance and explain the drivers
claude-sonnet-5,1100,400,Data Science,Summarise the findings of this experiment
claude-haiku-4-5,120,60,Data Science,Format this table as JSON
gemini-3.7-flash,640,280,Engineering,Review this pull request for correctness
gemini-3.5-flash-lite,80,40,Engineering,Convert this timestamp to ISO 8601
azure-gpt-4o,700,300,Product,Draft release notes from these commit messages
o3,1800,1200,Engineering,Debug this race condition and propose a fix
